번호,카테고리,질문,답변
11,와우 멤버십,와우 멤버십을 해지하면 언제 환불되나요?,"당월 혜택을 이용하지 않은 경우 : 
해지 신청 시 결제된 당월 월회비 환불이 진행되며, 결제수단에 따라 최대 7일까지 소요될 수 있습니다. (단, 일부 해외카드는 최대 14일까지 소요될 수 있음)
 당월 혜택을 이용한 경우 : 
결제된 당월 월회비는 환불되지 않습니다. 단, 멤버십 종료 예정일까지 혜택이 유지됩니다."
12,스미싱,알 수 없는 번호로 쿠팡 관련 문자를 받았어요.,"※ 피싱 및 스미싱 사기에 주의하시기 바랍니다. 
－쿠팡 및 쿠팡 배송직원 사칭 포함, 쿠팡의 배송과 관련이 없는 메시지 (예: 주식종목, 재난후원, 리뷰 이벤트, 마케팅 이벤트, 취업 안내 등)
 1577-7011(쿠팡 고객센터 전화번호)로 발송되었는지 확인해 주시기 바랍니다. 쿠팡 고객센터 전화번호가 아닌 다른 번호로 쿠팡 관련 문자를 받은 경우, 절대 문자 내 링크를 클릭하거나 해당 번호로 연락하지 마시고 쿠팡 고객센터로 연락 주시기 바랍니다.
 사칭으로 인한 피해가 발생하지 않도록 확인되지 않은 사이트로 연결을 유도하거나, 리뷰 이벤트 등의 참여를 독려하며 입금을 요청하는 경우 주의를 부탁드립니다. 특히, 의심이 가는 이메일 또는 문자를 통해 쿠팡 고객센터 전화번호(1577-7011)가 아닌 개인 휴대폰 번호로 연락을 받은 경우에는 각별한 주의를 부탁드립니다. 
 쿠팡 고객센터
• 전화번호 : 1577-7011
• 운영시간 : 365일 24시간 연중무휴
• 전화 문의가 어려우신 경우, 채팅 상담 또는 고객의 소리에 의견을 남겨주시기 바랍니다.
 ※ 휴대폰 소액결제 내역을 확인하고 통신사에 소액결제 사용중지를 요청하시기 바랍니다.
※ 만약 링크를 클릭하여 피해가 발생하였다면, 아래 신고 기관으로 신고하시기 바랍니다.
 [신고기관]
ECRM 경찰청 사이버범죄 신고시스템
• (국번 없이) 182
• https://ecrm.police.go.kr/minwon/main
 KISA 인터넷 침해 대응센터
• (국번 없이) 118
• http://www.krcert.or.kr"
13,중복주문,주문/결제가 중복으로 되었어요.,"먼저 이용에 불편을 드려서 죄송합니다. 
중복된 주문은 마이쿠팡을 통해 직접 취소해 주시기 바랍니다.
 주문 취소하기
• 마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 단, 마이쿠팡 주문목록에서 [주문취소] 버튼이 보이지 않는다면 배송상태에 따라 취소가 불가능한 시점이니 이 경우엔 [반품]으로 진행해 주세요.
 반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 만약 마이쿠팡에서 직접 주문취소 및 반품신청이 불가능하다면 쿠팡 고객센터(1577-7011)로 연락해 주시기 바랍니다."
14,쿠팡이츠,쿠팡이츠 서비스는 어디로 문의하나요?,"쿠팡이츠 고객센터로 문의해 주시기 바랍니다.
 쿠팡이츠 고객센터 
연락처 : 1670 - 9827
운영시간 : (365일 연중) 오전 6시 ~ 다음 날 오전 4시
 참고사항
스토어 센터 : 1600 - 9827 (사업자 전용)
배달파트너 센터 : 1599 - 9827 (배달파트너 전용)"
15,인증,본인확인을 하는데 인증번호(인증문자)가 오지 않습니다.,"다음의 사항에 해당하는 경우 인증번호 수신이 불가할 수 있습니다.
 • 쿠팡 고객센터 전화번호(1577-7011) 또는 한국모바일인증 전화번호(02-2033-8500)가 차단되어 있는 경우 : 
본인의 휴대폰에서 해당 번호의 수신거부를 해제해 주시기 바랍니다.
 • 기존에 쿠팡에 등록한 휴대폰 번호와 현재 사용하는 휴대폰 번호가 다를 경우 : 
쿠팡 고객센터로 문의하여 휴대폰 번호 변경을 요청해 주시기 바랍니다.
 또한, 사용자가 많을 경우 서버가 원활하지 않아 일시적으로 인증번호 수신이 지연될 수 있습니다."
16,반품,상품의 포장을 훼손했는데 반품할 수 있나요?,"상품의 포장도 상품의 가치 중 하나로 인정받는 상품이 있습니다. 이러한 상품의 포장이 훼손되어 상품의 가치가 감소했다면 단순 변심에 의한 반품이 불가합니다. 예를 들어, 의류의 태그, 신발의 박스, 전자제품의 박스와 비닐이 훼손 및 누락된 경우 등이 해당합니다. 상품 회수 후 검수 단계에서 이러한 문제가 발견되면 고객님께 연락을 드릴 수 있으며, 반품이 불가한 상품은 다시 반송해 드립니다. 상품별 반품 세부내용은 상품 상세페이지를 확인해 주시기 바랍니다.
 이와 별도로 상품의 포장이 아닌 택배의 박스나 비닐이 훼손된 경우, 배송직원 또는 택배기사가 상품을 회수할 수 있도록 다른 박스에 재포장하여 반품해 주시기 바랍니다.
 반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 제한사항 (클릭)"
17,가입/탈퇴,회원 탈퇴는 어떻게 하나요?,"아래의 순서대로 회원 탈퇴를 진행할 수 있습니다. 탈퇴 시 회원 전용 웹 서비스 이용이 불가하며, 탈퇴 전 유의사항을 반드시 확인해 주세요.
 회원 탈퇴하기
① 마이쿠팡 → MY정보 → 개인정보확인/수정 → 비밀번호 입력 → [회원탈퇴] 선택
② 회원탈퇴 동의 및 본인 인증
③ 쿠팡 이용 내역 확인 및 탈퇴 진행 절차 동의
④ 설문조사 후 탈퇴 완료
 유의사항 (더 보기)"
18,반품비,반품 비용은 누가 부담하나요?,"귀책사유에 따라 반품 비용의 부담 주체가 다릅니다. 상품 불량/파손/오배송 등 판매자의 귀책인 경우에는 고객에게 교환/반품 비용이 발생하지 않습니다. 그러나 구매자의 단순 변심인 경우에는 고객에게 반품 비용이 부담될 수 있습니다.
 반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다. 
 구매자 단순 변심의 경우 (클릭)










 반품 비용 확인 방법 (클릭)"
19,와우 멤버십,와우 멤버십 월회비 현금영수증은 어디서 확인할 수 있나요?,"와우 멤버십 현금영수증은 PC 웹사이트를 통해서만 확인이 가능합니다. 모바일에서는 확인이 불가하니 이용에 참고 부탁드립니다. 
 현금영수증 확인하기 (PC)
마이쿠팡 → MY쇼핑 → 영수증 조회/출력
 이미지로 확인하기 (클릭)
 또한, 국세청 홈페이지(https://www.hometax.go.kr/)에서도 확인이 가능합니다."
20,쿠페이,쿠페이 현금영수증을 다시 설정하려면 어떻게 하나요?,"쿠페이에 등록된 현금영수증 설정은 아래 경로를 통해 고객님께서 직접 변경하실 수 있습니다.
 현금영수증 설정 변경하기
마이쿠팡 → 결제수단∙쿠페이 → [현금영수증 설정] 선택 후 정보 변경"
21,와우 멤버십,주문한 것이 없는데 매달 결제되는 건 뭔가요?,"쿠팡 와우 멤버십에 가입한 경우 매월 정기 월회비가 자동으로 결제됩니다. [마이쿠팡 → 와우멤버십]에서 가입 여부를 확인해 주세요.
 와우 멤버십이란 쿠팡의 로켓배송, 로켓프레시, 로켓와우, 쿠팡플레이, 쿠팡이츠 등의 혜택을 이용할 수 있는 멤버십 서비스입니다. 와우 멤버십 월회비는 쿠페이에 등록된 결제수단(계좌이체, 카드, 쿠페이 머니)으로 매월 동일한 일자에 자동으로 결제됩니다. 이용을 원하지 않으면 언제든 와우 멤버십을 해지할 수 있습니다. 
 와우 멤버십 상세혜택 (클릭)















 와우 멤버십 해지하기 (클릭)"
22,현금영수증,현금영수증을 신청하지 못했는데 어떻게 해야 하나요?,"쿠팡은 국세청이 지정한 코드(010-000-1234)로 고객님의 현금영수증을 자진 발급하고 있습니다. 현금영수증 자진 발급 건에 대해 현금영수증 신청을 원하실 경우, 결제일 다음 날부터 국세청 홈페이지에서 직접 현금영수증을 발행 받을 수 있습니다. 단, 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 자진발급분 등록 방법 (클릭)"
23,배송일정,배송 중인 상품의 위치를 알고 싶어요.,"배송현황은 마이쿠팡에서 직접 확인이 가능합니다. 
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회
 배송조회 후 상단 ‘자세히 보기’를 클릭하면 시간대 별 배송현황을 확인할 수 있습니다. 배송 메시지는 모바일앱 홈 오른쪽 상단 알림센터에서도 확인이 가능합니다.
 판매자 배송 상품 참고사항 (클릭)"
24,교환/반품,교환/반품이 가능한 기준은 무엇인가요?,"미사용 상품에 한하여 교환/반품이 가능합니다. 상품을 회수한 후 검수 단계에서 문제가 발견될 시 고객님께 연락을 드릴 수 있습니다. '전자상거래 등에서의 소비자보호에 관한 법률'에 의거하여, 상품 수령 후 7일 이내 교환/반품을 요청할 수 있습니다. 단, 로켓배송 상품의 경우 배송 완료 후 30일 이내, 로켓모바일 상품은 주문일 포함 14일 이내로 교환/반품이 가능합니다. 세부내용은 아래를 참고하시기 바랍니다.
 교환/반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 가능 기간 (클릭)







 교환/반품 제한사항 (클릭)"
25,로그인/로그아웃,모바일 앱에서 로그아웃은 어떻게 하나요?,"모바일 앱 [마이쿠팡] 메뉴에서 로그아웃을 할 수 있으며 순서는 다음과 같습니다.
 모바일 앱 로그아웃 방법
① 모바일 앱 하단의 사람 모양 아이콘 [마이쿠팡] 선택
② 스크롤을 끝까지 내려 [로그아웃] 선택
③ 로그인 유지 여부에서 [로그아웃] 선택"
26,로켓배송,"로켓배송 상품을 19,800원 미만으로 구매하고 싶어요.","로켓배송 상품은 최소 주문금액 19,800원 이상이 충족돼야만 구매가 가능합니다. 단, 와우 멤버십 회원은 최소 주문금액 제한 없이 무조건 무료 배송으로 상품을 구매할 수 있습니다.
 로켓배송 상품은 쿠팡에서 직접 판매하며 쿠팡의 자체 배송 서비스를 이용합니다. 19,800원 미만은 배송비를 지불할 의사가 있으셔도 구매가 불가능한 점 양해 부탁드립니다."
27,비밀번호 관리,비밀번호/아이디가 기억나지 않아요.,"비밀번호는 암호화 저장되어 분실 시 찾을 수 없는 정보이므로 아래 경로를 통해 다시 설정해 주시기 바랍니다.
 비밀번호 재설정하기
로그인 → 아이디ㆍ비밀번호 찾기 → [비밀번호 찾기] 선택 → 본인 확인 후 재설정
 ※ 단, 이메일 주소 및 휴대폰 번호가 변경되어 비밀번호를 재설정할 수 없는 경우 쿠팡 고객센터(1577-7011)로 연락 주시기 바랍니다.
 이미지로 확인하기 (클릭)
 아이디(이메일) 찾기
로그인 → 아이디ㆍ비밀번호 찾기 → [아이디(이메일) 찾기] 선택 → 본인 확인 후 찾기"
28,교환/반품,교환/반품 신청을 철회하고 싶어요.,"교환/반품할 상품이 아직 회수되지 않았거나 교환 받을 상품이 아직 발송되지 않은 경우라면 마이쿠팡을 통해 직접 철회가 가능합니다.
 교환 철회하기
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [교환취소] 
 반품 철회하기
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [접수취소]"
29,쿠팡체험단,"쿠팡 체험단은 무엇이며, 초대 기준은 어떻게 되나요?","쿠팡 체험단이란 높은 수준의 구매후기(상품평)를 작성하시는 고객님들을 선정하여 상품을 무료로 제공하고, 무료로 제공된 상품에 대하여 후기 작성을 요청하는 프로그램입니다. 고객님들께 별도의 신청은 받지 않으며, 쿠팡에서 선정한 뒤 초대장을 보내 드리고 있습니다.
 초대 기준 : 활발한 상품평 활동과 양질의 구매후기를 등록해 주시면 초대 가능성이 높아집니다. (상품평 랭킹과는 무관함) 추가 상세 기준은 안내가 어려운 점 양해 부탁드립니다.
 참고 사항 : 쿠팡 체험단 운영 기준은 당사 사정에 따라 사전 고지 없이 변동될 수 있습니다. 별도로 임직원 체험단을 운영하고 있으며 이는 더 엄격하게 선정하기에 고객 체험단의 운영 기준과 다를 수 있습니다."
30,상품파손,배송 받은 상품이 파손되었어요.,"상품이 파손되어 배송된 경우 정해진 기간 내에 교환 및 반품이 가능합니다. 마이쿠팡을 통해 교환 및 반품을 직접 신청해 주시거나, 신청이 불가한 경우 고객센터로 연락 주시기 바랍니다. 
 교환/반품하기
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 안내사항 (클릭)
 파손에 의한 교환/반품 가능 기간 (클릭)"
31,배송완료미수령,상품을 받지 못했는데 배송완료로 확인됩니다.,"배송상태가 [배송완료]로 확인되나 상품을 받지 못했다면 다음을 먼저 확인해 주시기 바랍니다.
 로켓배송 상품인 경우
• 배송완료 문자 또는 대리 수령 가능 장소(경비실, 이웃, 주변 편의점 등) 확인
• 마이쿠팡 → 주문목록 → 상품선택 → [배송조회] 클릭 후 배송 사진 확인
 판매자 배송 상품인 경우
• 배송완료 문자 또는 대리 수령 가능 장소(경비실, 이웃, 주변 편의점 등) 확인
 위 안내사항을 확인한 후에도 배송된 상품을 찾을 수 없다면 다음의 방법으로 직접 처리가 가능합니다.
 로켓배송 상품을 받지 못한 경우 (클릭)
 판매자 배송 상품을 받지 못한 경우 (클릭)
 선물 받은 상품을 받지 못한 경우 (클릭)"
32,취소,"배송 전 주문을 취소했는데, 상품이 배송됐습니다.","상품 준비 중 상태에서 주문을 취소했고 판매자가 아직 상품을 발송하지 않았다면 배송을 취소할 수 있습니다. 그러나 판매자가 이미 상품을 발송했다면 배송을 취소할 수 없습니다. 이 경우, 상품이 배송되었을 때 택배기사에게 수취거부를 말씀해 주시기 바랍니다.
 주문 취소 이후 배송 예정 안내를 받은 경우
택배기사에게 연락을 받으시면 수취거부를 말씀해 주세요.
 주문 취소 이후 수취거부를 요청하지 못해 상품을 수령한 경우
수령한 상품에 대해 회수가 필요하니 쿠팡 고객센터 또는 판매자에게 연락을 부탁드립니다.
 주문 취소 이후 상품을 수령하였으나 그냥 사용하기를 희망하는 경우
수령한 상품에 대해 재결제가 필요하니 쿠팡 고객센터 또는 판매자에게 연락을 부탁드립니다. 
 판매자 정보 확인하기 (클릭)"
33,와우 멤버십,와우 멤버십이 무엇인가요?,"와우 멤버십이란 쿠팡의 로켓배송, 로켓프레시, 로켓와우, 쿠팡플레이, 쿠팡이츠 등의 혜택을 이용할 수 있는 멤버십 서비스입니다. 와우 멤버십 월회비는 쿠페이에 등록된 결제수단(계좌이체, 카드, 쿠페이 머니)으로 매월 동일한 일자에 자동으로 결제됩니다. 이용을 원하지 않으면 언제든 와우 멤버십을 해지할 수 있습니다. 
 • 와우 멤버십 혜택 확인하고 신청하기
 와우 멤버십 상세혜택 (클릭)"
34,회수,"반품하려는 상품은 어떻게 포장해야 하고, 어떻게 보내야 하나요?","먼저 마이쿠팡을 통해 직접 반품 신청을 부탁드립니다. 그 다음 반품할 상품을 재포장하여, 반품 신청 시 선택한 회수지에 상품을 보관해 주세요. 이후 배송직원 또는 택배기사가 방문하여 반품 상품을 회수해 갑니다. 상품 유형에 따라 회수 일정이 다르니 아래의 세부내용을 참고해 주시기 바랍니다.
 반품 신청하기
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 반품 재포장 방법 (더 보기)
 반품 접수 후 회수 일정 안내 (더 보기)




 판매자 배송 상품의 반품 상품을 직접 발송할 경우 (더 보기)


 판매자 정보 확인하기 (더 보기)"
35,신용카드,카드 즉시할인은 어떻게 확인할 수 있나요?,"각 카드사에서 제공하는 즉시할인은 프로모션 혜택 페이지와 상품 페이지, 그리고 주문/결제 페이지에서 확인할 수 있습니다. 카드 즉시할인이 적용되면 결제 전 주문/결제 페이지의 최종 결제금액에서 [카드 즉시할인(OO카드) -0,000원] 문구가 노출됩니다. 
 유의사항
• 카드 즉시할인은 쿠팡 모바일 앱과 PC 웹사이트에서만 적용됩니다. (모바일 웹은 적용 불가)
• 법인, 기프트, 선불, 체크카드는 즉시할인 혜택에서 제외됩니다. (단, 일부 체크카드는 적용되는 경우 있음)
• 카드 즉시할인은 카드사 및 당사 사정으로 기간 내 예고 없이 조기종료/재개/할인율이 변경될 수 있습니다.
• 행사 제품마다 선착순 할인으로 제공되며, 순차 완료(마감) 되면 할인 혜택이 적용되지 않을 수 있습니다.
• 선착순 제공 기준은 상품별/카드사별로 다를 수 있습니다.
• 즉시할인 결제 시에는 쿠팡캐시를 사용한 결제는 불가합니다.
• '할인율 및 적용대상' 상품은 실시간으로 변동될 수 있습니다. 
• 카드 즉시할인 혜택은 각 카드별 1일 1회만 적용됩니다.
• 카드 즉시할인 혜택이 적용된 주문을 취소해도 해당 혜택이 반드시 복구되는 것은 아닙니다. (재주문 시점에 프로모션이 이미 종료된 경우 등)"
36,취소 철회,주문취소 신청을 철회(취소)하고 싶어요.,"배송 상품은 주문을 취소하면 바로 결제 취소가 적용되어, 이후 주문취소를 철회(취소) 할 수 없습니다. 이미 주문취소를 하셨다면 재구매를 부탁드립니다."
37,상담,분쟁 처리 절차는 어떻게 되나요?,"통신판매중개자 또는 통신판매중개의뢰자에 의하여 발생한 불만이나 분쟁을 해결하기 위한 절차는 아래의 내용을 확인해 주시기 바랍니다. 
 분쟁처리절차 (클릭)
 판매자 정보 확인하기 (클릭)
 분쟁처리 담당기관 확인하기 (클릭)
 통신판매 및 통신판매중개에서의 소비자분쟁해결기준 (클릭)"
38,상품누락,상품을 구매했는데 일부만 배송되었어요.,"상품이 누락되었다면 교환을 통해 상품을 다시 받거나, 반품 후 환불을 받을 수 있습니다. 구성품의 일부가 누락된 경우에는 부분 배송이 불가하므로 상품 전체를 교환/반품으로 진행해 주시기 바랍니다. 교환 및 반품은 아래의 경로를 통해 직접 신청이 가능합니다.
 교환/반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다."
39,개인정보 설정,휴대폰 알림은 어떻게 설정하나요?,"알림 설정은 쿠팡 모바일 앱 [마이쿠팡] 메뉴에서 개별 설정이 가능합니다. PC에서는 설정이 불가하니, 모바일 앱을 이용하시기 바랍니다.
 모바일 알림(앱푸시) 설정하기
마이쿠팡 → ‘내이름’ 선택 → 푸시설정 → 필요에 따라 ON/OFF 설정"
40,로켓배송,새벽배송 상품이 왜 공동현관문 앞에 배송되었나요?,"새벽배송 상품은 주문 시 입력하신 [새벽배송 수령방법] 위치로 배송됩니다. 고객님께서 수령방법을 문 앞으로 요청했으나, 새벽에 문 앞까지 갈 수 없는 경우에는 부득이하게 1층 공동현관문 앞(또는 그 외 장소)으로 배송해 드릴 수 있습니다. [새벽배송 수령방법]에 공동현관 출입번호를 꼭 입력해 주시기 바랍니다.
 공동현관 출입번호 입력하기
마이쿠팡 → 내정보관리 → 주소록 관리 → [수정] 클릭
이후 원하는 주소지의 새벽배송 공동현관 출입번호를 입력합니다."
41,배송일정,배송상태가 계속 상품 준비 중입니다.,"배송상태가 ‘상품준비중’인 단계는 판매자가 고객님의 주문을 확인하고 상품을 포장하여 배송을 준비하는 상태입니다. 갑작스러운 주문량 증가 등 판매자 측에 예상치 못한 상황이 발생할 경우 ‘상품준비중’ 단계가 길어질 수 있습니다. 또한, 해외배송 상품의 경우 시차로 인해 주문 확인 및 상품 준비에 시간이 더 소요될 수 있습니다.
 상품 준비가 길어져 주문 취소를 원할 경우, 마이쿠팡 주문목록에서 직접 취소가 가능합니다. 
기다렸다가 상품 수령을 원할 경우, 판매자에게 배송일정을 문의해 주시기 바랍니다. 
 주문 취소하기
마이쿠팡 → 주문목록 → 상품선택 → [주문취소] 
이후 각 단계에 해당하는 항목을 선택하여 취소를 완료합니다.
 판매자 정보 확인하기 (클릭)"
42,해외배송,개인통관고유부호 발급 및 입력 방법을 알고 싶어요.,"개인통관고유부호란 해외배송 상품을 통관할 때 주민등록번호 대신 사용하는 13자리 부호(P+12개의 숫자)입니다. 해외배송 상품을 구매하려면 개인통관고유부호 입력은 필수 사항입니다. 개인통관고유부호는 상품을 ‘받는 사람(수취인)’의 정보로 입력하셔야 합니다. 구매한 사람과 받는 사람이 다른 경우엔 입력에 유의를 부탁드립니다.
 개인통관고유부호 발급 경로
• 관세청 개인통관고유부호 발급사이트(클릭) 
• 본인 인증을 거친 후 성함, 핸드폰 번호 등 간단한 정보를 입력하면 발급이 가능합니다.
 개인통관고유부호 입력 시 유의사항
• 관세청에 등록된 이름과 연락처가 쿠팡에서 주문할 때 입력한 ‘받는사람(수취인)’의 정보와 반드시 일치해야 합니다. 
• 쿠팡에 입력한 ‘받는사람(수취인)’의 이름 외 다른 정보가 포함되면 안 됩니다. (예) 김쿠팡(집), 김쿠팡(회사) 등"
