은행,상품종류,상품이름,조항,조항이름,조항내용
KB_bank,대출,KB 햇살론15에 따른 추가약정서,3,보증료 납입,"본인은 대출약정에서 정한 매 회차별 대출원리금 상환시 기금에 납부하여야 할 보증료를 동시에 납부하
기로 합니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,4,기한전의 채무변제의무,"은행여신거래기본약관 제7조제2항제2호에 불구하고 분할상환금 또는 분할상환원리금의 지급
을 3회 이상 연속하여 지체한 때 채무자는 당해 채무의 기한의 이익을 상실하여 곧 이를 갚아야 할 의무를 집니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,5,상환유예 및 만기연장,"①본인은 정상상환하고 있는 중에 실직, 질병 또는 사고가 발생한 경우에는 귀행에게 최대 1년
이내의 기간에 대하여 상환유예 및 만기연장을 신청할 수 있습니다.
②상환유예 기간 중에는 대출이자와 보증료만 납부하고 원금상환은 유예됩니다.
③귀행이 상환유예 결정을 통보한 때에는 기금에 별도로 통보하지 않더라도 기금의 신용보증 조건은 해당 상환유예 조건에
따라 자동으로 변경된 것으로 봅니다.
④제1항에도 불구하고 본인과 귀행 사이에 상환유예 방법을 다르게 적용하기로 합의한 경우에는 그 방법에 따를 수 있습니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,6,성실상환자 금리인하,"①대출을 성실상환한 사람에게는 신용보증 기한에 따라 다음 각 호에 해당하는 보증료율을 추
가로 감면할 수 있습니다.
1. 신용보증 기한이 3년인 경우 1년마다 3.0%포인트
2. 신용보증 기한이 5년인 경우 1년마다 1.5%포인트
②제1항의 “대출을 성실상환한 사람”이란 대출기간이 1년을 초과하는 경우 매 1년 경과시점부터 과거 1년간 누적연체일수
가 30일 이하인 사람을 말하며, 감면일 현재 연체 중인 경우는 제외합니다.
③제2항의 “매 1년 경과시점”을 계산할 때에는 제5조에 따른 상환유예 기간은 제외합니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,7,추가약정의 효력,"이 추가약정서에서 정한 사항은 대출약정, 본인과 기금이 체결한 보증거래약정 및 귀행 또는 기금의
약관에 우선하여 적용됩니다.
동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,8,보증료 자동이체,"본인은 대출금 이자를 자동이체 방식에 의하여 납부하는 경우, 보증료를 대출원리금 자동이체 출금계
좌에서 인출하여 수납처리 하여 줄 것을 신청 하며, 보증료 자동이체와 관련한 사항에 대하여는 대출은행의 자동이체 약관
을 따르기로 합니다."
KB_bank,대출,KB 햇살론15에 따른 추가약정서,9,기타,"이 추가약정서는 본인과 귀행 및 기금을 대리한 귀행이 체결한 것입니다.
본인은 귀행과 『대출거래약정』을 체결함에 있어, 이 추가약정서의 모든 조항을 충분히 이해하고 아래와 같이 서명 날인합니
다.
20 년 월 일
본인(대출받는자) 성 명 : (인)
생년월일(주민등록번호기준) :
주 소 :
주식회사 국민행복기금 및 국민은행 귀중"
KB_bank,대출,KB 햇살론17에 따른 추가약정서,전문,,"KB 햇살론17에 따른 추가약정서
본인은 귀행과 체결한 년 월 일자 『대출거래약정』 (이하 “대출약정”이라 한다)
에 추가하여 귀행 및 주식회사 국민행복기금(이하 “기금”)과 다음과 같이 약정한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,1,보증부대출,"본인이 귀행과 체결한 대출약정은 기금이 발급하는 신용보증서를 기초로
한 대출임을 확인하고 다음의 사항에 동의한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,2,대출이자 및 보증료의 계산,"①본인이 귀행 및 기금에 매월 납부하여야 하는 대출원리금과
보증료를 합한 총 상환금은 대출원금에 대하여 대출이자율(______%)과 보증료율(______%)
을 합한 율(______%)을 적용하여 계산한 금액으로 한다.
②제1항에서 정한 바에 따라 본인이 귀행에 매월 납입하여야 할 대출원리금과 보증료를
합한 월상환금을 매월 성실히 납부하기로 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,3,보증료 납입,"본인은 대출약정에서 정한 매 회차별 대출원리금 상환시 기금에 납부하여야
할 보증료를 동시에 납부하기로 한다"
KB_bank,대출,KB 햇살론17에 따른 추가약정서,4,기한전의 채무변제의무,"은행여신거래기본약관 제7조제2항제2호에 불구하고 분할상환금
또는 분할상환원리금의 지급을 3회 이상 연속하여 지체한 때 채무자는 당해 채무의 기한의
이익을 상실하여 곧 이를 갚아야 할 의무를 진다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,5,상환유예,"①본인은 정상상환하고 있는 중에 실직, 질병 또는 사고가 발생한 경우에는
귀행에게 최대 1년 이내의 기간에 대하여 상환유예를 신청할 수 있다.
②상환유예 기간 중에는 대출이자와 보증료만 납부하고 원금상환은 유예되며, 만기일은
연장되지 않는다.
③귀행이 상환유예 결정을 통보한 때에는 기금에 별도로 통보하지 않더라도 기금의 신용보증
조건은 해당 상환유예 조건에 따라 자동으로 변경된 것으로 본다.
④제1항에도 불구하고 본인과 귀행 사이에 상환유예 방법을 다르게 적용하기로 합의한 경우
에는 그 방법에 따를 수 있다.
⑤상환유예 기간 종료 후에는 제2항에 따라 유예된 원금을 잔여기간 중 매월 원리금균등
분할상환 방식에 따라 상환하여야 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,6,성실상환자 금리인하,"①대출을 성실상환한 사람에게는 신용보증 기한에 따라 다음 각
호에 해당하는 보증료율을 추가로 감면할 수 있다.
1. 신용보증 기한이 3년인 경우 1년마다 2.5%포인트
2. 신용보증 기한이 5년인 경우 1년마다 1.0%포인트
②제1항의 “대출을 성실상환한 사람”이란 대출기간이 1년을 초과하는 경우 매 1년 경과시점
부터 과거 1년간 누적연체일수가 30일 이하인 사람을 말하며, 감면일 현재 연체 중인 경우는
제외한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,7,추가약정의 효력,"이 추가약정서에서 정한 사항은 대출약정, 본인과 기금이 체결한
보증거래약정 및 귀행 또는 기금의 약관에 우선하여 적용된다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,8,보증료 자동이체,"본인은 대출금 이자를 자동이체 방식에 의하여 납부하는 경우, 보증료를
대출원리금 자동이체 출금계좌에서 인출하여 수납처리하여 줄 것을 신청하며, 보증료 자동이체와
관련한 사항에 대하여는 대출은행의 자동이체 약관을 따르기로 한다."
KB_bank,대출,KB 햇살론17에 따른 추가약정서,9,기타,"이 추가약정서는 본인과 귀행 및 기금을 대리한 귀행이 체결한 것이다.
본인은 귀행과 『대출거래약정』을 체결함에 있어, 이 추가약정서의 모든 조항을 충분히 이해
하고 아래와 같이 서명 날인합니다.
20 년 월 일
본인(대출받는자) 성 명 : (인)
생년월일(주민등록번호기준) :
주 소 :
주식회사 국민행복기금 및 국민은행 귀중"
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,전문,,"동 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
KB 햇살론뱅크에 따른 추가약정서
본인은 귀행과 체결한 년 월 일자 『대출거래약정』 (이하 “대출약정”이라
한다)에 추가하여 귀행 및 서민금융진흥원(이하 ""서금원"")과 다음과 같이
약정합니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,1,보증부대출,"본인이 귀행과 체결한 대출약정은 서금원이 발급하는
신용보증서를 기초로 한 대출임을 확인하고 다음의 사항에 동의합니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,2,보증료의 계산,"본인이 서금원에 매월 납부하여야 하는 보증료는
보증원금에 대하여 보증료율(_____%)을 곱하여 계산한 금액으로 합니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,3,보증료 납입,"본인은 대출약정에서 정한 매 회차별 대출원리금 상환시
서금원에 납부하여야 할 보증료를 동시에 납부하기로 합니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,4,추가약정의 효력,"이 추가약정서에서 정한 사항은 대출약정, 본인과
서금원이 체결한 보증거래약정 및 귀행 또는 서금원의 약관에 우선하여
적용됩니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,5,보증료 자동이체,"본인은 대출금 이자를 자동이체 방식에 의하여
납부하는 경우, 보증료를 대출원리금 자동이체 출금계좌에서 인출하여
수납처리 하여 줄 것을 신청 하며, 보증료 자동이체와 관련한 사항에
대하여는 대출은행의 자동이체 약관을 따르기로 합니다."
KB_bank,대출,KB 햇살론뱅크에 따른 추가약정서,6,기타,"이 추가약정서는 본인과 귀행 및 서금원 3자간 체결된 사실과
약정체결 시 귀행이 서금원을 대리하였음을 확인합니다.
본인은 귀행과 『대출거래약정』을 체결함에 있어, 이 추가약정서의 모든
조항을 충분히 이해하고 아래와 같이 서명 날인합니다.
20 년 월 일
본인(대출받는자) 성 명 : (인)
생 년 월 일 :
주 소 :
서민금융진흥원 및 KB국민은행 귀중"
KB_bank,대출,KB국민카드 연계 오토서비스 설명서 추가약정서,1,전체 내용,"동 설명서는 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다.
KB국민카드 연계 오토서비스 설명서
(KB매직카대출용)
▪ KB국민카드 연계 오토서비스 제공 대상
신차 구매를 위한 「KB매직카대출(KB매직카 신용대출 포함)」을 이용하시며, 대출금 지급 방법으로
KB국민카드 결제방식을 신청한 고객
▪ KB국민카드 연계 오토서비스 제공 기간
KB국민카드 연계 오토서비스는 「KB매직카대출(KB매직카 신용대출 포함)」 신청 고객이 대출실행
후 차량 구매를 위한 KB국민카드 결제시 제공되는 서비스로 차량 구매 1건에 한하여 1회성 제공
▪ KB국민카드 연계 오토서비스 내용
KB국민카드 연계 오토서비스는 고객님이 신차 구매를 위하여 KB국민은행에서 「KB매직카대출
(KB매직카 신용대출 포함)」을 신청하고, 해당 대출금으로 자동차 판매점에서 KB국민카드 결제 후
결제 금액에 따라 캐시백을 받는 서비스 입니다.
- 본건 이용 금액은 KB국민카드 포인트리 및 항공 마일리지 적립이 제외됩니다.
- 캐시백 금액은 카드사 전표 매입 15일 이후 본인 명의 KB국민카드 결제계좌로 입금됩니다.
※ KB국민카드 연계 오토서비스 캐시백 지급률
▪ KB국민카드 연계 오토서비스 제공 요건
- KB국민카드 연계 오토서비스는 본인 명의의 KB국민카드(신용/체크) 소지 고객의 경우에 한하여
신청 가능하며, 가족카드 및 사업자카드는 불가합니다.
- 차량 구입 예정 자동차 판매점에서 KB국민카드 결제 가능 여부 확인이 필요합니다.
ㅇ 일부 수입 브랜드, 캠핑 카라반, 이륜차 등은 KB국민카드 연계 오토서비스가 불가합니다.
- 신차 구매를 위해 「KB매직카대출(KB매직카 신용대출 포함)」 연계 오토서비스와 KB국민카드사
전용 특별 한도를 복수로 신청하고 동일 일자에 나누어 결제시, 한도별 결제 순서에 유의하시기
바랍니다.(연계 오토서비스와 카드사 특별한도를 중복 신청하지 않도록 유의)
※ 한도별 결제 순서 관련 상세 문의 : KB국민카드 오토금융센터 ☏1599-0036
ㅇ 또한, KB매직카대출 연계 오토서비스는 신청한 금액과 동일한 금액으로 결제하지 않으면
승인 되지 않으므로 유의하시기 바랍니다.
▪ KB국민카드 연계 오토서비스 이용시 유의사항
자동차 계약 취소 등의 사유 발생시 연계 오토서비스가 자동 취소되지 않으므로 가까운 KB국민
은행 영업점으로 문의해 주시기 바랍니다. 비대면 신청건의 경우 KB매직카대출 전담센터
(☏1644-7444)로 문의하시고, 취소 절차를 안내 받으시길 바랍니다.
▪ 연계·제휴서비스 이행책임
KB국민은행은 연계·제휴서비스를 부당하게 축소·변경하지 않으며, 정당한 이유 없이 금융소비자
에게 불리하게 변경하는 경우 그에 상응하는 다른 연계·제휴서비스 제공
※ 그에 상응하는 다른 연계·제휴서비스 제공이 불가능한 경우 부득이 연계·제휴서비스를 중단
할 수 있음
▪ 연계·제휴서비스 변경·종료에 대한 사전통지
서면, 우편, 팩스, 전화, E-mail, LMS 등의 방법 중 하나의 방법으로 축소·변경 6개월 전부터
매월 고지. 단, 그에 상응하는 다른 연계·제휴서비스를 제공하거나 금융회사의 휴업ㆍ파산, 경영상
의 위기 또는 연계·제휴서비스등을 제공하는 자의 일방적인 연계·제휴서비스등 제공 중단 등
6개월 전부터 고지하기 어려운 불가피한 사유가 있는 경우에는 해당 상황이 발생하는 즉시 고지
하는 경우 제외"
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 알아두어야 할 사항,1,담보종류에 따른 책임범위,"『특정채무담보』는 채무자가 채권자에 대하여 부담하는 특정된 채무만을 담보하는 것으로, 그 채무가 연
기·재취급 또는 다른 여신으로 대환된 때에는 담보하지 않습니다.
『근담보』는 채무자와 채권자 사이에 이미 맺어져 있거나 앞으로 맺게 될 거래계약으로부터 현재 발생되
어 있거나 앞으로 발생할 채무를 채권최고액의 범위내에서 담보하게 되는 것으로 두가지 유형이 있으며,
각 유형에 따른 책임범위는 다음과 같습니다.
『특정 근담보』
특정된 거래계약(예: 년 월 일자 대출거래약정서)으로부터 계속적으로 발생하는 채무를 담보하며,
그 채무가 기한연장된 때에도 담보합니다. 그러나 재취급 또는 다른 여신으로 대환된 때에는 담보하지 않
습니다.
『한정 근담보』
특정한 종류의 거래(예: 당좌대출거래)에 대하여 이미 맺어져 있거나 앞으로 맺게 될 거래계약으로부터
현재 발생되어 있거나 앞으로 발생하게 될 채무를 모두 담보하며, 그 채무의 연장이나 재취급은 물론 같
은 종류로 대환된 때에도 담보합니다. 그러나 다른 종류의 여신으로 대환된 때에는 담보하지 않습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 알아두어야 할 사항,2,담보제공자가 연대보증까지 서는 경우,"담보제공자가 연대보증을 별도로 서는 경우 채권자는 담보제공한 재산외에 담보제공자의 다른 일반재산에
대하여도 강제집행을 할 수 있습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,전문,,"근 담 보 근 질 권 설 정 계 약 서
(예 ·적금용, 동산용, 유가증권용)
★ 담보의 제공은 재산상 손실을 가져올 수도 있는 중요한 법률행위이므로 미리 뒷면 ""담보제공자가 꼭 알아 두어야
할 사항""과 계약서 내용을 잘 읽은 후 신중한 판단을 하시고, 굵은선 으로 표시된 란(당사자란 제1조
및 계약서 각면)은 담보제공자가 반드시 자필로 기재하시기 바랍니다.
위 당사자 사이에 아래와 같이 근질권 설정계약을 맺습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,1,근질권의 설정,"근질권설정자(이하 ""설정자""라 합니다)는 은행여신거래기본약관을 승인하고, 이 계약서의 ""담보목적물 목록""란에 기재한 채권·물건·
증권등(이하 ""담보목적물""이라 합니다)에 다음 내용으로 근질권을 설정하고, 채권자 앞으로 그 담보목적물의 인도절차를 마쳤습니다.
1. 피담보채무의 범위
채권자는 피담보채무의 범위를 달리하는 다음의 두 유형 가운데 어느 하나를 설정자가 선택할 수 있음을 설명하였고, 설정자는 그 가운데에서 정한 채무(이자, 지연배상금 기타 부대채무를 포함합니다)를 담보하기로 합니다.
2. 담보한도액 등
가. 담보한도액
나. “가”호의 담보한도액을 외화로 정한 경우, 원화환산에 적용할 환율은 채권자가 현실적으로 변제금을 수령할 시점의 대고객 전신환
매도율로 적용합니다
3. 근질권 결산기
채권자는 근질권 결산기를 정하는 다음의 세유형 가운데 어느 하나를 설정자가 선택할 수 있음을 설명하였고, 설정자는
에서 정한 날을 결산기로 하기로 합니다.
"
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,2,근질권의 효력 범위,"① 근질권의 효력은 담보목적물의 원금 ·수익권(이 계약 이후에 적립한 적립금을 포함합니다.)과 이에 부수하는 이자 ·수익의 수익권,
특별이자, 장려금, 배당금, 상환금과 무상주에 미칩니다.
② 담보목적물에 대하여 기간연장 ·개서 ·갱신 ·분할 ·병합 ·증액 ·감액 등을 한때에는 그 위에도 근질권의 효력이 미칩니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,3,위험부담 ·면책조항,"① 설정자는 채권자에게 인도할 담보증서(통장)가 불가항력 ·사변 ·재해 등 채권자의 책임없는 사유로 말미암아 분실 ·손실 또는 멸실된 경우에는 채권자의 청구에 따라 곧 그에 대신할 증서(통장)을 제출하기로 합니다.
② 담보증서(통장) ·담보물수령증(통장)등의 증서상의 인영·서명을 설정자가 미리 신고한 인감 ·서명과 상당한 주의로써 대조하고 틀림
없다고 인정하여 거래한 때에는 증서등과 인감 ·서명에 관하여 위조 ·변조 ·도용 등의 사고가 있더라도 이로 말미암은 손해는 설정자가 부담하며, 설정자는 증서의 기재문언에 따라 책임을 지기로 합니다.
③ 담보목적물이 유가증권인 경우, 설정자는 그 증권에 관한 상환공고 ·제출공고 등에 유의하고, 이들 공고가 있는 때에는 곧 채권자에게 통지하며, 이 통지가 없었기 때문에 채권자가 증권의 추심이나 기타의 권리행사 또는 보전절차를 밟지 아니한 때에는 이로 말미암은 손해는 모두 설정자가 부담합니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,4,보험계약,"① 담보목적물이 유체동산인 경우, 설정자는 담보목적물에 대하여 채권보전에 필요한 범위내에서 채권자가 지정하는 종류와 금액으로 보험계약을 맺고, 그 보험계약에 따른 권리위에 채권자를 위하여 질권을 설정하여 보험증권을 채권자에게 교부하며, 이 계약에 정한 피담보채무가 존재하는 동안 이를 계속 유지합니다.
② 설정자는 전항에 의한 보험계약 외에 담보목적물에 대하여 따로 보험계약을 맺은 때에는 이를 곧 채권자에게 통지하며, 채권자가
채권보전상 필요에 따라 청구하는 경우에는 그 보험계약에 따른 권리에 대하여도 채권자를 위하여 질권을 설정합니다.
③ 설정자가 제1항, 제2항에 정하는 바에 따르지 아니함으로써 채권자가 채권보전상 필요한 보험계약을 설정자를 대신하여 맺거나 계
속하고 그 보험료를 지급한 때에는, 채무자와 설정자는 연대하여 채권자가 지급한 보험료 기타의 제 비용에 대하여 은행여신거래기본약
관(가계용) 제4조에 준하여 곧 갚습니다.
④ 제1항 내지 제3항에 의한 보험계약에 터잡아 채권자가 보험금을 수령한 때에는, 다른 담보물의 제공 등 상당한 사유가 없는 한, 피
담보채무의 기한도래전일지라도, 채권자는 그 수령금으로 은행여신거래기본약관(가계용) 제13조에 준하여 채무의 변제에 충당할 수 있
습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,5,담보목적물의 처분 등,"① 보증인이 담보로 제공한 예·적금, 신탁 기타 채권에 가압류·압류명령이나 체납처분 압류통지가 발송된 때에는 , 채무자는 피담보채무
의 기한도래 여부에 불구하고 당해 피담보채무를 곧 상환하기로 하며, 채권자는 보증인이 제공한 담보 예·적금, 신탁 기타채권에 대하
여 근질권을 실행하거나 또는 상계 등을 할 수 있습니다. 또한 피담보채무의 기한의 도래 또는 기한의 이익의 상실로 말미암아 채무의
이행을 하여야 할 때에도, 채권자는 근질권을 실행하거나 또는 담보목적물이 예금 등의 채권인 경우에는 은행여신거래기본약관(가계용)"
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,10,에 준하여 상계 등을 할 수 있습니다.,"② 담보목적물의 처분은「민사집행법」에 따른 임의경매절차에 의함을 원칙으로 하되, 다음 각 호의 경우 채권자는 담보목적물로써 직
접 변제에 충당하거나, 담보목적물을 매각하여 그 대금에서 제 비용을 뺀 잔액을 은행여신거래기본약관 제13조에 준하여 충당할 수 있
습니다. 이러한 경우 채권자는 담보목적물의 평가액 또는 매각대금에서 그 채권액을 뺀 금액을 채무자 등에게 지급합니다. ” 채무자
등” 은 채무자, 설정자, 담보목적물의 제3취득자를 말합니다.
1. 목적물의 가치가 적어 많은 비용을 들여 경매하는 것이 불합리한 경우
2. 경매시 정당한 가격으로 경락되기 어려운 사정이 있는 경우
3. 공정시세가 있어서 경매에 의하지 않아도 공정가격 산출이 가능한 경우
4. 그 밖에 정당한 사유가 있다고 볼 수 있는 경우
③ 임의경매절차에 의하지 아니하는 경우 채권자는 다음 각 호의 내용을 채무자 등과 채권자가 알고 있는 이해관계인에게 통지하고, 그
통지가 도달한 날로부터 1개월 이내에 이해관계인이 채권자가 산정한 예상매각대금 이상으로 처분할 수 있는 방법을 제시하지 않아야
처분할 수 있습니다. 다만, 담보목적물이 멸실 또는 훼손될 염려가 있거나 가치가 급속하게 감소될 우려가 있는 경우에는 그러하지 아
니합니다.
1. 담보권 실행의 방법
2. 피담보채권의 금액
3. 담보목적물의 평가액 또는 예상매각대금
4. 담보목적물로써 직접 변제에 충당하거나 담보목적물을 매각하려는 이유
④ 제1항의 경우 채무 전액을 소멸시키기에 부족한 때에는 은행여신거래기본약관(가계용) 제13조에 준하여 채무의 변제에 충당할 수
있습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,6,비용부담,"채권자의 이 계약에 의한 권리의 보전이나 행사 등에 관한 비용은 채무자와 설정자가 연대하여 부담하고, 채권자가 이를 대신 지급한
때에는 은행여신거래기본약관 제4조에 준하여 곧 갚습니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,7,다른 담보 ·보증약정과의 관계,"① 설정자가 채무자의 채권자에 대한 같은 피담보채무에 관하여 따로 담보를 제공하고 있거나 보증을 하고 있는 경우에는 별도의 약정
이 없는 한 그 담보나 보증은 이 계약에 의하여 변경되지 아니하며 이 계약에 의한 담보 책임과 별개의 것으로 누적적으로 적용됩니다.
② 담보가치의 하락 등을 대비한 채권자의 청구에 의하여 설정자가 같은 피담보채무에 관하여 담보제공과 동시에 같은 금액으로 연대
보증을 한 경우 그 중 어느 하나의 일부 또는 전부를 이행한 때에는 전항에 불구하고 그 이행한 범위 내에서 다른 책임도 면합니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,8,담보 등의 변경 ·해지 ·해제,"설정자가 동의를 한 때나, 동등한 가치이상의 담보대체, 동등한 자력이상의 보증인 교체 또는 일부 변제액에 비례한 담보나 보증의 해
지·해제 등 설정자가 대위변제할 경우의 구상실현에 불리한 영향이 없다고 판단될 때에는 거래상 필요에 따라, 채권자는 다른 담보나
보증을 변경 또는 해지 ·해제할 수 있기로 합니다."
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,9,담보목적물의 표시,"1. 질권의 목적인 예금등의 표시 (단위 : 원)
2. 질권의 목적인 동산, 지명채권, 유가증권 등의 표시"
KB_bank,대출,근질권 설정 예적금용 동산용 유가증권용 약정서,10,기타 특약사항,"※ 설정자는 다음 사항을 읽고 본인의 의사를 사실에 근거하여 자필로 기재하여 주십시오.
(기재예시 : 1. 수령함, 2. 들었음)"
KB_bank,대출,금리우대 추가약정서,전문,,"은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
본인은 국민은행(이하 “은행” 이라함)과 약정한 년 월 일자 주택도시기금 내집마련디딤돌 대출거래약정서(한국주택금융공사 채권유동화목적 포함)에
추가하여 다음과 같이 약정합니다."
KB_bank,대출,금리우대 추가약정서,1,금리우대 적용,"“은행”은 본 대출과 관련하여 아래 해당 항목의 요건이 충족되는 경우 대출실행일로부터 각 항목의 기준에 따라 우대금리를 적용하기로 합니다.
(□ 기본 또는 □ 주택보유 이력이 없는 신혼가구, □ 신생아 특례 디딤돌대출 신청가구, □ 청년 주택드림 디딤돌대출 신청가구 중 선택) 단, 우대
금리 적용 상한은 0.5%p(다자녀가구는 0.7%p, 청년 주택드림 디딤돌대출 신청가구는 1.0%p)로 합니다.
□ 기본
□ 주택보유(세대주 및 세대원 전원) 이력이 없는 신혼가구
□ 신생아 특례 디딤돌대출 신청가구
□ 청년 주택드림 디딤돌대출 신청가구"
KB_bank,대출,금리우대 추가약정서,2,금리우대 종료,"제1조의 금리우대 항목 중 청약(종합)저축 가입자 금리우대 요건이 유지되지 않는 경우에는 금리우대 적용이 불가합니다.
02108078 (2025.04.10 개정)"
KB_bank,대출,금리우대 가계용 추가약정서,전문,,"신설은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과 이 약정서의 사본을 교부하여야 합니다.
본인은 국민은행(이하 “은행” 이라함)과 약정한 년 월 일자 대출거래약정서(주택도시기금대출:가계용)에 추가하여 다음과 같이 약정합니다."
